treatment,replicate,wavenumber,absorbance
trt1,rep2,1.176365E+03,3.67E-02
trt1,rep2,1.178293E+03,3.56E-02
trt1,rep2,1.180222E+03,3.47E-02
trt1,rep2,1.182150E+03,3.43E-02
trt1,rep2,1.184079E+03,3.44E-02
trt1,rep2,1.186007E+03,3.46E-02
trt1,rep2,1.187936E+03,3.50E-02
trt1,rep2,1.189864E+03,3.55E-02
trt1,rep2,1.191792E+03,3.62E-02
trt1,rep2,1.193721E+03,3.69E-02
trt1,rep2,1.195649E+03,3.75E-02
trt1,rep2,1.197578E+03,3.77E-02
trt1,rep2,1.199506E+03,3.79E-02
trt1,rep2,1.201435E+03,3.77E-02
trt1,rep2,1.203363E+03,3.72E-02
trt1,rep2,1.205292E+03,3.63E-02
trt1,rep2,1.207220E+03,3.54E-02
trt1,rep2,1.209149E+03,3.44E-02
trt1,rep2,1.211077E+03,3.36E-02
trt1,rep2,1.21trt16E+03,3.30E-02
trt1,rep2,1.214934E+03,3.28E-02
trt1,rep2,1.216863E+03,3.28E-02
trt1,rep2,1.218791E+03,3.31E-02
trt1,rep2,1.220719E+03,3.34E-02
trt1,rep2,1.222648E+03,3.38E-02
trt1,rep2,1.224576E+03,3.41E-02
trt1,rep2,1.226505E+03,3.44E-02
trt1,rep2,1.228433E+03,3.47E-02
trt1,rep2,1.230362E+03,3.49E-02
trt1,rep2,1.232290E+03,3.51E-02
trt1,rep2,1.234219E+03,3.52E-02
trt1,rep2,1.236147E+03,3.52E-02
trt1,rep2,1.238076E+03,3.51E-02
trt1,rep2,1.240004E+03,3.50E-02
trt1,rep2,1.241933E+03,3.48E-02
trt1,rep2,1.243861E+03,3.46E-02
trt1,rep2,1.245790E+03,3.44E-02
trt1,rep2,1.247718E+03,3.41E-02
trt1,rep2,1.249646E+03,3.39E-02
trt1,rep2,1.251575E+03,3.38E-02
trt1,rep2,1.253503E+03,3.37E-02
trt1,rep2,1.255432E+03,3.38E-02
trt1,rep2,1.257360E+03,3.39E-02
trt1,rep2,1.259289E+03,3.38E-02
trt1,rep2,1.261217E+03,3.36E-02
trt1,rep2,1.263146E+03,3.34E-02
trt1,rep2,1.265074E+03,3.32E-02
trt1,rep2,1.267003E+03,3.30E-02
trt1,rep2,1.268931E+03,3.29E-02
trt1,rep2,1.270860E+03,3.27E-02
trt1,rep2,1.272788E+03,3.25E-02
trt1,rep2,1.274717E+03,3.24E-02
trt1,rep2,1.276645E+03,3.22E-02
trt1,rep2,1.278573E+03,3.21E-02
trt1,rep2,1.280502E+03,3.20E-02
trt1,rep2,1.282430E+03,3.19E-02
trt1,rep2,1.284359E+03,3.17E-02
trt1,rep2,1.286287E+03,3.16E-02
trt1,rep2,1.288216E+03,3.15E-02
trt1,rep2,1.290144E+03,3.15E-02
trt1,rep2,1.292073E+03,3.17E-02
trt1,rep2,1.294001E+03,3.19E-02
trt1,rep2,1.295930E+03,3.22E-02
trt1,rep2,1.297858E+03,3.25E-02
trt1,rep2,1.299787E+03,3.30E-02
trt1,rep2,1.301715E+03,3.34E-02
trt1,rep2,1.303644E+03,3.39E-02
trt1,rep2,1.305572E+03,3.45E-02
trt1,rep2,1.307500E+03,3.51E-02
trt1,rep2,1.309429E+03,3.57E-02
trt1,rep2,1.311357E+03,3.63E-02
trt1,rep2,1.313286E+03,3.65E-02
