treatment,replicate,wavenumber,absorbance
trt1,rep1,1.303699E+03,5.62E-02
trt1,rep1,1.305627E+03,5.66E-02
trt1,rep1,1.307556E+03,5.70E-02
trt1,rep1,1.309484E+03,5.75E-02
trt1,rep1,1.311413E+03,5.78E-02
trt1,rep1,1.313341E+03,5.80E-02
trt1,rep1,1.315270E+03,5.80E-02
trt1,rep1,1.317198E+03,5.79E-02
trt1,rep1,1.319127E+03,5.75E-02
trt1,rep1,1.321056E+03,5.70E-02
trt1,rep1,1.322984E+03,5.65E-02
trt1,rep1,1.324913E+03,5.61E-02
trt1,rep1,1.326841E+03,5.58E-02
trt1,rep1,1.328770E+03,5.56E-02
trt1,rep1,1.330698E+03,5.55E-02
trt1,rep1,1.332627E+03,5.55E-02
trt1,rep1,1.334555E+03,5.55E-02
trt1,rep1,1.336484E+03,5.55E-02
trt1,rep1,1.338412E+03,5.54E-02
trt1,rep1,1.340341E+03,5.52E-02
trt1,rep1,1.342270E+03,5.51E-02
trt1,rep1,1.344198E+03,5.52E-02
trt1,rep1,1.346127E+03,5.54E-02
trt1,rep1,1.348055E+03,5.56E-02
trt1,rep1,1.349984E+03,5.59E-02
trt1,rep1,1.351912E+03,5.63E-02
trt1,rep1,1.353841E+03,5.68E-02
trt1,rep1,1.355769E+03,5.72E-02
trt1,rep1,1.357698E+03,5.78E-02
trt1,rep1,1.359626E+03,5.83E-02
trt1,rep1,1.361555E+03,5.89E-02
trt1,rep1,1.363484E+03,5.94E-02
trt1,rep1,1.365412E+03,5.99E-02
trt1,rep1,1.367341E+03,6.02E-02
trt1,rep1,1.369269E+03,6.03E-02
trt1,rep1,1.371198E+03,6.04E-02
trt1,rep1,1.373126E+03,6.02E-02
trt1,rep1,1.375055E+03,5.98E-02
trt1,rep1,1.376983E+03,5.97E-02
trt1,rep1,1.378912E+03,5.94E-02
trt1,rep1,1.380840E+03,5.91E-02
trt1,rep1,1.382769E+03,5.87E-02
trt1,rep1,1.384698E+03,5.85E-02
trt1,rep1,1.386626E+03,5.82E-02
trt1,rep1,1.388555E+03,5.79E-02
trt1,rep1,1.390483E+03,5.78E-02
trt1,rep1,1.392412E+03,5.79E-02
trt1,rep1,1.394340E+03,5.78E-02
trt1,rep1,1.396269E+03,5.77E-02
trt1,rep1,1.398197E+03,5.76E-02
trt1,rep1,1.400126E+03,5.75E-02
trt1,rep1,1.402055E+03,5.78E-02
trt1,rep1,1.403983E+03,5.78E-02
trt1,rep1,1.405912E+03,5.77E-02
trt1,rep1,1.407840E+03,5.79E-02
trt1,rep1,1.409769E+03,5.80E-02
trt1,rep1,1.411697E+03,5.80E-02
trt1,rep1,1.413626E+03,5.82E-02
trt1,rep1,1.415554E+03,5.83E-02
trt1,rep1,1.417483E+03,5.83E-02
trt1,rep1,1.419411E+03,5.78E-02
trt1,rep1,1.421340E+03,5.77E-02
trt1,rep1,1.423269E+03,5.76E-02
trt1,rep1,1.425197E+03,5.73E-02
trt1,rep1,1.427126E+03,5.72E-02
trt1,rep1,1.429054E+03,5.69E-02
trt1,rep1,1.430983E+03,5.64E-02
trt1,rep1,1.432911E+03,5.60E-02
trt1,rep1,1.434840E+03,5.57E-02
trt1,rep1,1.436768E+03,5.48E-02
trt1,rep1,1.438697E+03,5.42E-02
trt1,rep1,1.440625E+03,5.38E-02
trt1,rep1,1.442554E+03,5.34E-02
trt1,rep1,1.444483E+03,5.30E-02
trt1,rep1,1.446411E+03,5.26E-02
trt1,rep1,1.448340E+03,5.20E-02
trt1,rep1,1.450268E+03,5.16E-02
trt1,rep1,1.452197E+03,5.12E-02
trt1,rep1,1.454125E+03,5.09E-02
trt1,rep1,1.456054E+03,5.02E-02
trt1,rep1,1.457982E+03,4.81E-02
trt1,rep1,1.459911E+03,4.74E-02
trt1,rep1,1.461839E+03,4.70E-02
trt1,rep1,1.463768E+03,4.61E-02
trt1,rep1,1.465697E+03,4.44E-02
trt1,rep1,1.467625E+03,4.31E-02
trt1,rep1,1.469554E+03,4.18E-02
trt1,rep1,1.471482E+03,4.03E-02
trt1,rep1,1.473411E+03,3.79E-02
trt1,rep1,1.475339E+03,3.68E-02
